job_category,skills,field_of_study
Business Analyst,attention to detail | Communication | communication skills | critical thinking | Critical Thinking | leadership | Leadership | Microsoft Excel | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Requirements Gathering | Teamwork | Time Management | Use Case | User Stories,Information Systems
Sales Executive,Closing Sales | Cold Calling | Communication | Critical Thinking | Customer Relationship | Customer Service | Lead Generation | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Prospecting | Reporting | Sales Target | Teamwork | Time Management,Business Administration
Mobile App Developer,Agile | Android | Android Studio | App Store Deployment | Cloud Deployment | Critical Thinking | Git | Kotlin | Leadership | Microservices | MongoDB | MVVM | Node.js | NoSQL | OOP | PostgreSQL | Presentation Skills | Push Notifications | Python | REST API | Scrum | TypeScript | Xcode,Computer Science
Data Analyst,Big Data | Business Intelligence | Classification | Data Cleaning | Data Interpretation | Deep Learning | Descriptive Statistics | ETL | Google Analytics | Microsoft Word | Pandas | Pivot Table | Power BI | Presentation Skills | Project Coordination | Python | Regression | Reporting | Spark | SQL | Teamwork | Time Management,Information Technology
Mobile App Developer,analytical thinking | Android | App Store Deployment | CI/CD | clean code | Dart | Debugging | debugging | Firebase | Git | Java | microservices | Microsoft Word | Mobile UI | multitasking | OOP | Play Store Deployment | Push Notifications | Scrum | Spring Boot | version control,Information Technology
Mechanical Engineer,3D Modelling | attention to detail | Communication | customer service | Customer Service | Electrical Design | Leadership | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | plc programming | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | simulation software | SolidWorks | Technical Documentation | Technical Drawing | time management | Time Management,Mechatronics
Civil Engineer,3D Modelling | 3d modelling | AutoCAD | Bill of Quantities | Communication | Concrete | Construction Management | Customer Service | Drawing Review | Health and Safety | Mechanical Design | Microsoft Word | PLC | Presentation Skills | preventive maintenance | Preventive Maintenance | Problem Solving | Project Coordination | project coordination | root cause analysis | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Structural Design | Tendering | Time Management,Civil Engineering
Project Manager,adaptability | attention to detail | Budgeting | Communication | communication skills | Critical Thinking | customer service | Customer Service | leadership | Microsoft Project | microsoft word | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Project Coordination | project coordination | Project Planning | Reporting | Scheduling | Scrum | Stakeholder Management | Team Management | teamwork | Teamwork | Time Management,Information Technology
Finance & Accounting Executive,Accounts Payable | Accounts Receivable | adaptability | advanced excel | Bank Reconciliation | Budgeting | Cash Flow Management | communication skills | corporate finance | Corporate Finance | costing | critical thinking | Customer Service | Excel | Financial Analysis | Forecasting | General Ledger | Investment Analysis | leadership | Microsoft Excel | Microsoft PowerPoint | oracle finance | Presentation Skills | SAP | Taxation | teamwork,Banking
Customer Support Executive,analytical thinking | attention to detail | Call Handling | Communication | communication skills | critical thinking | CRM System | Customer Service | Email Support | Leadership | Live Chat | Microsoft PowerPoint | Microsoft Word | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Service Recovery | Teamwork | Time Management,Mass Communication
Teacher / Lecturer,Assessment | assessment design | Assessment Design | Classroom Management | Communication | communication skills | Counselling | customer service | e-learning tools | Learning Materials Development | Lesson Planning | lesson planning | multitasking | Online Teaching | online teaching | presentation skills | Project Coordination | Student Engagement | student engagement | Teaching | Teaching Materials | time management,Multimedia
Chemical Engineer,Communication | Critical Thinking | Customer Service | Electrical Design | Laboratory Testing | Leadership | Mechanical Design | Microsoft Word | P&ID | Preventive Maintenance | Problem Solving | Process Control | Process Design | Project Coordination | Quality Control | Safety Compliance | SolidWorks | Technical Documentation | Time Management,Chemical Engineering
Nurse,Clinical Procedures | clinical procedures | Communication | communication skills | Counselling | CPR | Critical Thinking | Customer Service | Emergency Response | health education | Health Education | Infection Control | Medication Administration | Patient Care | phlebotomy | Presentation Skills | Problem Solving | project coordination | Teamwork | Time Management | Vital Signs | vital signs monitoring,Nursing
Sales Executive,adaptability | analytical thinking | Cold Calling | Communication | communication skills | critical thinking | Critical Thinking | Customer Relationship | Customer Service | Lead Generation | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Product Knowledge | Project Coordination | Reporting | teamwork | Teamwork | time management | Time Management,Business Administration
Graphic Designer,Adobe XD | adobe xd | Branding | communication skills | Critical Thinking | Customer Service | design systems | Figma | interaction design | leadership | Leadership | Logo Design | Microsoft PowerPoint | Presentation Skills | Print Design | Problem Solving | Prototyping | Responsive Design | Social Media Design | Time Management | Typography | typography | UI Design | Usability Testing | Visual Design | Wireframing,Multimedia
Nurse,Communication | CPR | Critical Thinking | Electronic Medical Records | Emergency Response | health education | Health Education | Infection Control | leadership | Medication Administration | Microsoft Word | Patient Care | Presentation Skills | Problem Solving | Project Coordination | Record Keeping | Teamwork | Time Management | Vital Signs | Vital Signs Monitoring | wound care,Nursing
Pharmacist,attention to detail | basic life support | Clinical Procedures | Communication | Counselling | Customer Service | Electronic Medical Records | Health Education | Infection Control | Inventory Management | Medical Terminology | Medication Counselling | Microsoft PowerPoint | microsoft powerpoint | OTC Recommendation | Patient Care | Phlebotomy | phlebotomy | problem solving | Teamwork | Time Management,Pharmacy
